                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3485,                 2.6853,                 2.1425,                0.29518,                 0.4399,                0.27284,                0.08892,                 2.2732,                 2.3427,                  2.338,                 0.0829,                 0.0019,                 0.0019
                      1,                  1.952,                   1.87,                  1.764,                0.38404,                0.71902,                0.55139,                0.24138,                 1.8114,                  1.795,                 1.8641,               0.064746,              0.0037456,              0.0037456
                      2,                 1.6802,                 1.6571,                 1.5579,                0.52764,                0.76606,                0.70545,                0.33937,                 1.6178,                 1.4888,                 1.6693,               0.046433,              0.0054327,              0.0054327
                      3,                 1.5691,                 1.5746,                 1.4677,                0.72446,                0.71598,                0.75619,                0.43124,                 1.4055,                 1.2667,                 1.5308,               0.027961,              0.0069615,              0.0069615
                      4,                 1.5265,                 1.4644,                 1.4191,                0.61393,                0.76568,                0.75144,                0.44389,                 1.4122,                 1.2819,                 1.5092,              0.0093318,              0.0083318,              0.0083318
                      5,                 1.4309,                 1.3484,                 1.3779,                0.63541,                0.82805,                0.78241,                0.47443,                 1.3083,                 1.1484,                 1.4253,                0.00802,                0.00802,                0.00802
                      6,                 1.4092,                 1.2642,                 1.3345,                0.74026,                0.80465,                0.82782,                0.47528,                 1.3432,                 1.1569,                 1.4504,                0.00802,                0.00802,                0.00802
                      7,                 1.3224,                 1.2094,                 1.2959,                0.70743,                0.87566,                 0.8102,                0.49605,                 1.2414,                0.96297,                 1.3893,               0.007624,               0.007624,               0.007624
                      8,                  1.287,                 1.1323,                 1.2755,                 0.7523,                0.86763,                0.84241,                0.59007,                 1.0773,                0.86778,                 1.2981,               0.007228,               0.007228,               0.007228
                      9,                 1.2468,                 1.0662,                 1.2518,                0.79232,                 0.7899,                0.83676,                0.56166,                 1.0959,                0.85384,                 1.3109,               0.006832,               0.006832,               0.006832
                     10,                 1.2343,                 1.0807,                 1.2539,                0.82903,                0.83868,                0.86485,                0.57487,                 1.1355,                0.82551,                 1.3087,               0.006436,               0.006436,               0.006436
                     11,                 1.2056,                  1.019,                 1.2195,                0.83897,                0.82619,                0.86845,                0.59295,                 1.0507,                0.76858,                 1.2864,                0.00604,                0.00604,                0.00604
                     12,                 1.1641,                 1.0112,                  1.225,                0.77346,                 0.8271,                0.84787,                0.57467,                 1.0809,                0.81097,                 1.2904,               0.005644,               0.005644,               0.005644
                     13,                 1.1342,                0.97035,                 1.1949,                0.81084,                0.80796,                0.84774,                0.60862,                 0.9998,                0.76188,                  1.242,               0.005248,               0.005248,               0.005248
                     14,                 1.1234,                 0.9425,                 1.1903,                0.80681,                0.79539,                0.85825,                0.60171,                 1.0236,                0.77641,                 1.2478,               0.004852,               0.004852,               0.004852
                     15,                  1.078,                0.90166,                 1.2071,                0.81439,                0.85022,                0.87879,                 0.6227,                0.96409,                0.75237,                 1.2091,               0.004456,               0.004456,               0.004456
                     16,                 1.0464,                0.86352,                 1.1856,                0.89294,                0.80413,                0.89158,                0.64884,                0.92723,                0.71548,                 1.1899,                0.00406,                0.00406,                0.00406
                     17,                 1.0211,                0.84226,                 1.1693,                0.77444,                0.85395,                 0.8834,                0.64021,                0.95994,                0.73268,                 1.2103,               0.003664,               0.003664,               0.003664
                     18,                0.97522,                 0.7913,                 1.1438,                0.76899,                0.84898,                 0.8804,                0.66699,                0.88119,                 0.6976,                 1.1675,               0.003268,               0.003268,               0.003268
                     19,                0.98002,                0.79942,                 1.1565,                0.82824,                0.79761,                0.88494,                0.66742,                0.87178,                0.68264,                 1.1725,               0.002872,               0.002872,               0.002872
                     20,                 0.9392,                0.77528,                 1.1271,                0.81184,                0.85482,                 0.8968,                0.67362,                0.85053,                0.65345,                 1.1525,               0.002476,               0.002476,               0.002476
                     21,                0.93444,                0.76872,                 1.1183,                0.87199,                0.81267,                0.90461,                0.68033,                 0.8413,                0.62113,                 1.1569,                0.00208,                0.00208,                0.00208
                     22,                0.91974,                0.75451,                 1.1252,                 0.8893,                0.84284,                0.90932,                 0.6761,                0.84177,                0.62098,                 1.1521,               0.001684,               0.001684,               0.001684
                     23,                0.89441,                0.74016,                 1.1184,                0.83424,                0.85826,                0.90927,                0.69428,                0.83121,                0.60722,                 1.1367,               0.001288,               0.001288,               0.001288
                     24,                 0.8978,                 0.7309,                 1.1156,                 0.8517,                0.84269,                0.90534,                0.69767,                0.82033,                0.61237,                 1.1296,               0.000892,               0.000892,               0.000892
